"_time",daylogins,"_span","_spandays"
1434229200,"187125.000000",86400,1
1434315600,"398701.000000",86400,1
1434402000,"372594.000000",86400,1
1434488400,"357527.000000",86400,1
1434574800,"341483.000000",86400,1
1434661200,"501606.000000",86400,1
1434747600,"250255.000000",86400,1
1434834000,"198516.000000",86400,1
1434920400,"365346.000000",86400,1
1435006800,"350711.000000",86400,1
1435093200,"340900.000000",86400,1
1435179600,"366553.000000",86400,1
1435266000,"363758.000000",86400,1
1435352400,"250465.000000",86400,1
1435438800,"195217.000000",86400,1
1435525200,"371960.000000",86400,1
1435611600,"377336.000000",86400,1
1435698000,"407092.000000",86400,1
1435784400,"364618.000000",86400,1
1435870800,"377008.000000",86400,1
1435957200,"266367.000000",86400,1
1436043600,"202804.000000",86400,1
1436130000,"406668.000000",86400,1
1436216400,"373528.000000",86400,1
1436302800,"363596.000000",86400,1
1436389200,"361494.000000",86400,1
1436475600,"419095.000000",86400,1
1436562000,"273549.000000",86400,1
1436648400,"208744.000000",86400,1
1436734800,"384566.000000",86400,1
1436821200,"373527.000000",86400,1
1436907600,"394875.000000",86400,1
1436994000,"373200.000000",86400,1
1437080400,"365850.000000",86400,1
1437166800,"250367.000000",86400,1
1437253200,"201392.000000",86400,1
1437339600,"412913.000000",86400,1
1437426000,"375434.000000",86400,1
1437512400,"358824.000000",86400,1
1437598800,"351222.000000",86400,1
1437685200,"378840.000000",86400,1
1437771600,"253826.000000",86400,1
1437858000,"200729.000000",86400,1
1437944400,"371315.000000",86400,1
1438030800,"360768.000000",86400,1
1438117200,"355634.000000",86400,1
1438203600,"357552.000000",86400,1
1438290000,"370980.000000",86400,1
1438376400,"276248.000000",86400,1
1438462800,"220027.000000",86400,1
1438549200,"399428.000000",86400,1
1438635600,"392224.000000",86400,1
1438722000,"402884.000000",86400,1
1438808400,"384699.000000",86400,1
1438894800,"394103.000000",86400,1
1438981200,"264362.000000",86400,1
1439067600,"212730.000000",86400,1
1439154000,"447797.000000",86400,1
1439240400,"401205.000000",86400,1
1439326800,"389659.000000",86400,1
1439413200,"400895.000000",86400,1
1439499600,"411719.000000",86400,1
1439586000,"286137.000000",86400,1
1439672400,"219288.000000",86400,1
1439758800,"411544.000000",86400,1
1439845200,"442988.000000",86400,1
1439931600,"378663.000000",86400,1
1440018000,"412046.000000",86400,1
1440104400,"396262.000000",86400,1
1440190800,"270265.000000",86400,1
1440277200,"218613.000000",86400,1
1440363600,"412458.000000",86400,1
1440450000,"421070.000000",86400,1
1440536400,"381535.000000",86400,1
1440622800,"383611.000000",86400,1
1440709200,"393463.000000",86400,1
1440795600,"276734.000000",86400,1
1440882000,"231480.000000",86400,1
1440968400,"404869.000000",86400,1
1441054800,"402038.000000",86400,1
1441141200,"389715.000000",86400,1
1441227600,"389674.000000",86400,1
1441314000,"428223.000000",86400,1
1441400400,"297832.000000",86400,1
1441486800,"237696.000000",86400,1
1441573200,"419519.000000",86400,1
1441659600,"408447.000000",86400,1
1441746000,"436525.000000",86400,1
1441832400,"462514.000000",86400,1
1441918800,"436131.000000",86400,1
1442005200,"305651.000000",86400,1
1442091600,"242280.000000",86400,1
1442178000,"447147.000000",86400,1
1442264400,"464610.000000",86400,1
1442350800,"435598.000000",86400,1
1442437200,"414805.000000",86400,1
1442523600,"447668.000000",86400,1
1442610000,"310334.000000",86400,1
1442696400,"252629.000000",86400,1
1442782800,"453297.000000",86400,1
1442869200,"426065.000000",86400,1
1442955600,"415988.000000",86400,1
1443042000,"411556.000000",86400,1
1443128400,"459179.000000",86400,1
1443214800,"311738.000000",86400,1
1443301200,"253037.000000",86400,1
1443387600,"440535.000000",86400,1
1443474000,"440176.000000",86400,1
1443560400,"478848.000000",86400,1
1443646800,"469875.000000",86400,1
1443733200,"451101.000000",86400,1
1443819600,"336091.000000",86400,1
1443906000,"257483.000000",86400,1
1443992400,"479160.000000",86400,1
1444078800,"462752.000000",86400,1
1444165200,"446808.000000",86400,1
1444251600,"448676.000000",86400,1
1444338000,"519394.000000",86400,1
1444424400,"368881.000000",86400,1
